k,omega
0.0,0.0
0.01578689775673263,0.015786733819426566
0.03157379551346526,0.031572484027273924
0.04736069327019789,0.047356267073247985
0.06314759102693052,0.06313709952962106
0.07893448878366315,0.07891399815250551
0.09472138654039577,0.09468597994311598
0.1105082842971284,0.11045206220901628
0.12629518205386103,0.1262112626253473
0.14208207981059368,0.14196259929603183
0.1578689775673263,0.15770509081495293
0.1736558753240589,0.17343775632710154
0.18944277308079155,0.18915961558968988
0.2052296708375242,0.20486968903322658
0.2210165685942568,0.22056699782255004
0.23680346635098942,0.23625056391781593
0.25259036410772207,0.2519194101354351
0.2683772618644547,0.26757256020895825
0.28416415962118735,0.2832090388499033
0.29995105737791994,0.2988278718085219
0.3157379551346526,0.31442808593450156
0.3315248528913852,0.33000870923759856
0.3473117506481178,0.34556877094819904
0.36309864840485045,0.36110730157780435
0.3788855461615831,0.37662333297943573
0.39467244391831574,0.3921158984079561
0.4104593416750484,0.40758403258030423
0.42624623943178097,0.423026771735638
0.4420331371885136,0.43844315369538267
0.45782003494524626,0.4538322179231803
0.47360693270197884,0.4691930055847374
0.4893938304587115,0.48452455960756635
0.5051807282154441,0.4998259247406167
0.5209676259721767,0.5150961476137933
0.5367545237289094,0.5303342767973573
0.552541421485642,0.5455393628612062
0.5683283192423747,0.5607104584340289
0.5841152169991073,0.575846618262333
0.5999021147558399,0.5909468992693401
0.6156890125125726,0.6060103606137455
0.6314759102693052,0.6210360637483376
0.6472628080260378,0.6360230724784764
0.6630497057827704,0.6509704530204234
0.678836603539503,0.6658772740595222
0.6946235012962356,0.6807426068082256
0.7104103990529683,0.6955655250639647
0.7261972968097009,0.7103451052668568
0.7419841945664336,0.725080426557249
0.7577710923231662,0.7397705708330936
0.7735579900798988,0.754414622807152
0.7893448878366315,0.7690116700640217
0.8051317855933641,0.7835608031169863
0.8209186833500968,0.798061115464682
0.8367055811068294,0.812511703647578
0.8524924788635619,0.8269116673042681
0.8682793766202946,0.8412601092275686
0.8840662743770272,0.8555561354204192
0.8998531721337598,0.869798855151586
0.9156400698904925,0.8839873810111583
0.9314269676472251,0.8981208289658402
